alpha,direction,sequence_index,reduced_field,applied_field,field_units,max_abs_d_prime,bulk_max_abs_d_prime,bulk_mean_abs_d_prime,bulk_relative_phase,free_energy,free_energy_per_area,convergence_max_density_change,num_sites,num_elements,width,max_edge_length,boundary_strip,solve_time,wall_seconds,output_file
0.4,up,0,0.0,0.0,mT,0.27415747164484167,0.27415747164484167,0.2738612811477645,-1.5707963267948966,-72.36183153652695,-0.5024996467159818,0.0055717128880934386,7870,15358,12.0,0.25,2.0,200.0,92.909761,/Users/nick/Documents/GitHub/py-s-d-tdgl/my_scripts/d_plus_d_prime_phase_diagram/h5/alpha_0.400000_up_000_b_0.000000.h5
0.4,up,1,0.05,0.01645529892377267,mT,0.26169294915023944,0.26169294915023944,0.25827127557664753,-1.5707969094489016,-70.47012712917666,-0.4893631522934388,0.0050988726428248254,7870,15358,12.0,0.25,2.0,200.0,93.405613,/Users/nick/Documents/GitHub/py-s-d-tdgl/my_scripts/d_plus_d_prime_phase_diagram/h5/alpha_0.400000_up_001_b_0.050000.h5
0.4,up,2,0.1,0.03291059784754534,mT,0.21458121782747716,0.21458121782747716,0.20252431008256344,-1.5708022401558541,-65.05904979479988,-0.45178720388057064,0.01934252624897348,7870,15358,12.0,0.25,2.0,200.0,97.098234,/Users/nick/Documents/GitHub/py-s-d-tdgl/my_scripts/d_plus_d_prime_phase_diagram/h5/alpha_0.400000_up_002_b_0.100000.h5
0.4,up,3,0.15000000000000002,0.04936589677131801,mT,0.0475569096171437,0.0475569096171437,0.04094437955427798,-1.570826330905008,-56.896076656050035,-0.39510136507198157,1.4332816005380167e-05,7870,15358,12.0,0.25,2.0,200.0,89.246383,/Users/nick/Documents/GitHub/py-s-d-tdgl/my_scripts/d_plus_d_prime_phase_diagram/h5/alpha_0.400000_up_003_b_0.150000.h5
0.4,up,4,0.2,0.06582119569509068,mT,7.278378762820542e-06,7.278378762820542e-06,5.798304971430528e-06,nan,-46.9993739513135,-0.32637605081189563,0.06522912957119376,7870,15358,12.0,0.25,2.0,200.0,90.025916,/Users/nick/Documents/GitHub/py-s-d-tdgl/my_scripts/d_plus_d_prime_phase_diagram/h5/alpha_0.400000_up_004_b_0.200000.h5
0.4,up,5,0.25,0.08227649461886334,mT,0.05349348348938236,0.05349348348938236,1.7300552725016567e-05,-1.142080641891816,-44.591388716013434,-0.3096543661289314,0.005540686521092991,7870,15358,12.0,0.25,2.0,200.0,149.838242,/Users/nick/Documents/GitHub/py-s-d-tdgl/my_scripts/d_plus_d_prime_phase_diagram/h5/alpha_0.400000_up_005_b_0.250000.h5
0.4,up,6,0.30000000000000004,0.09873179354263602,mT,0.0006207850261265602,0.0006207850261265602,2.138088291479331e-07,nan,-44.705264010400604,-0.31044514621263264,0.010336096092108282,7870,15358,12.0,0.25,2.0,200.0,150.823791,/Users/nick/Documents/GitHub/py-s-d-tdgl/my_scripts/d_plus_d_prime_phase_diagram/h5/alpha_0.400000_up_006_b_0.300000.h5
0.4,up,7,0.35000000000000003,0.1151870924664087,mT,2.596648589868855e-14,2.2226140391069616e-14,6.341960343115202e-15,nan,-41.57146829904646,-0.28868324212040936,0.10942889229210984,7870,15358,12.0,0.25,2.0,200.0,94.048783,/Users/nick/Documents/GitHub/py-s-d-tdgl/my_scripts/d_plus_d_prime_phase_diagram/h5/alpha_0.400000_up_007_b_0.350000.h5
0.4,up,8,0.4,0.13164239139018136,mT,2.597599911429861e-22,2.2291181919335914e-22,8.896163458909068e-23,nan,-36.60033423200626,-0.25416237580976964,0.00016142742903912932,7870,15358,12.0,0.25,2.0,200.0,95.820547,/Users/nick/Documents/GitHub/py-s-d-tdgl/my_scripts/d_plus_d_prime_phase_diagram/h5/alpha_0.400000_up_008_b_0.400000.h5
0.4,up,9,0.45,0.148097690313954,mT,2.1001813944767455e-33,1.6289551143102466e-33,5.172048088886664e-34,nan,-30.316454325351096,-0.21052545609601206,0.0013393530223222427,7870,15358,12.0,0.25,2.0,200.0,94.07091,/Users/nick/Documents/GitHub/py-s-d-tdgl/my_scripts/d_plus_d_prime_phase_diagram/h5/alpha_0.400000_up_009_b_0.450000.h5
0.4,up,10,0.5,0.16455298923772668,mT,1.3385455194212046e-44,1.0604324151165809e-44,3.1105975440157545e-45,nan,-29.324362390039397,-0.20363610799055046,0.001852333439923859,7870,15358,12.0,0.25,2.0,200.0,101.200748,/Users/nick/Documents/GitHub/py-s-d-tdgl/my_scripts/d_plus_d_prime_phase_diagram/h5/alpha_0.400000_up_010_b_0.500000.h5
